tripleStore,ver,min,mean,max,stddev,count,sum
GraphDB,0,0.0,0.9230769230769229,7.0,1.8912755158683456,13,12.0
GraphDB,1,0.0,0.6153846153846154,2.0,0.6504436355879909,13,8.0
GraphDB,2,0.0,0.6153846153846154,2.0,0.6504436355879909,13,8.0
GraphDB,3,0.0,0.7692307692307693,3.0,0.8320502943378436,13,10.0
GraphDB,4,0.0,0.6923076923076923,2.0,0.6304251719561152,13,9.0
GraphDB,5,0.0,0.7692307692307693,4.0,1.091928428198338,13,10.0
GraphDB,6,0.0,0.6153846153846154,3.0,0.869718492622904,13,8.0
GraphDB,7,0.0,0.46153846153846145,2.0,0.6602252917735247,13,6.0
GraphDB,8,0.0,0.6153846153846154,3.0,0.8697184926229041,13,8.0
GraphDB,9,0.0,0.6923076923076922,3.0,0.8548504142651104,13,9.0
GraphDB,10,0.0,0.6153846153846154,2.0,0.6504436355879909,13,8.0
GraphDB,11,0.0,0.4615384615384615,2.0,0.6602252917735248,13,6.0
GraphDB,12,0.0,0.7692307692307693,3.0,0.8320502943378437,13,10.0
GraphDB,13,0.0,0.38461538461538464,2.0,0.650443635587991,13,5.0
GraphDB,14,0.0,0.6153846153846154,3.0,0.869718492622904,13,8.0
GraphDB,15,0.0,0.6923076923076923,2.0,0.6304251719561151,13,9.0
GraphDB,16,0.0,0.4615384615384615,2.0,0.6602252917735248,13,6.0
GraphDB,17,0.0,0.6923076923076923,2.0,0.6304251719561152,13,9.0
GraphDB,18,0.0,2.4615384615384617,22.0,5.896543968226708,13,32.0
GraphDB,19,0.0,0.3076923076923077,1.0,0.48038446141526137,13,4.0
GraphDB,20,0.0,0.38461538461538464,2.0,0.650443635587991,13,5.0
GraphDB,21,0.0,0.6153846153846154,1.0,0.5063696835418333,13,8.0
GraphDB,22,0.0,0.5384615384615385,2.0,0.6602252917735246,13,7.0
GraphDB,23,0.0,0.46153846153846156,1.0,0.5188745216627708,13,6.0
GraphDB,24,0.0,0.6153846153846154,2.0,0.6504436355879909,13,8.0
GraphDB,25,0.0,0.6923076923076923,2.0,0.6304251719561152,13,9.0
GraphDB,26,0.0,0.5384615384615385,2.0,0.6602252917735247,13,7.0
GraphDB,27,0.0,0.5384615384615385,2.0,0.6602252917735246,13,7.0
GraphDB,28,0.0,0.6153846153846154,3.0,0.869718492622904,13,8.0
GraphDB,29,0.0,0.6923076923076923,1.0,0.48038446141526137,13,9.0
GraphDB,30,0.0,0.6923076923076923,2.0,0.6304251719561152,13,9.0
GraphDB,31,0.0,0.6923076923076923,3.0,0.8548504142651101,13,9.0
GraphDB,32,0.0,1.0,7.0,1.8708286933869707,13,13.0
GraphDB,33,0.0,0.4615384615384615,2.0,0.6602252917735248,13,6.0
GraphDB,34,0.0,0.5384615384615385,2.0,0.6602252917735247,13,7.0
GraphDB,35,0.0,0.6923076923076923,1.0,0.48038446141526137,13,9.0
GraphDB,36,0.0,0.5384615384615385,2.0,0.6602252917735246,13,7.0
GraphDB,37,0.0,0.846153846153846,4.0,1.1435437497937313,13,11.0
GraphDB,38,0.0,0.6923076923076923,2.0,0.6304251719561151,13,9.0
GraphDB,39,0.0,0.6923076923076923,2.0,0.6304251719561152,13,9.0
GraphDB,40,0.0,0.5384615384615385,2.0,0.6602252917735247,13,7.0
GraphDB,41,0.0,0.46153846153846145,3.0,0.8770580193070292,13,6.0
GraphDB,42,0.0,0.6923076923076923,2.0,0.6304251719561152,13,9.0
GraphDB,43,0.0,0.6153846153846154,2.0,0.6504436355879909,13,8.0
GraphDB,44,0.0,0.6153846153846154,2.0,0.6504436355879909,13,8.0
GraphDB,45,0.0,0.6923076923076922,2.0,0.6304251719561152,13,9.0
GraphDB,46,0.0,0.8461538461538461,3.0,0.8006407690254357,13,11.0
GraphDB,47,0.0,0.5384615384615384,1.0,0.5188745216627708,13,7.0
GraphDB,48,0.0,0.4615384615384615,3.0,0.8770580193070292,13,6.0
GraphDB,49,0.0,0.5384615384615385,2.0,0.6602252917735246,13,7.0
GraphDB,50,0.0,0.7692307692307693,2.0,0.5991446895152781,13,10.0
GraphDB,51,0.0,0.4615384615384615,1.0,0.5188745216627709,13,6.0
GraphDB,52,0.0,0.8461538461538461,2.0,0.5547001962252291,13,11.0
GraphDB,53,0.0,0.4615384615384615,2.0,0.6602252917735248,13,6.0
GraphDB,54,0.0,0.38461538461538464,2.0,0.650443635587991,13,5.0
GraphDB,55,0.0,0.8461538461538461,2.0,0.5547001962252291,13,11.0
GraphDB,56,0.0,0.46153846153846156,1.0,0.5188745216627708,13,6.0
GraphDB,57,0.0,0.38461538461538464,1.0,0.5063696835418334,13,5.0
GraphDB,58,0.0,0.8461538461538461,2.0,0.554700196225229,13,11.0
GraphDB,59,0.0,0.5384615384615384,2.0,0.6602252917735248,13,7.0
GraphDB,60,0.0,0.7692307692307693,2.0,0.5991446895152781,13,10.0
GraphDB,61,0.0,0.6153846153846154,2.0,0.6504436355879909,13,8.0
GraphDB,62,0.0,0.6923076923076923,2.0,0.6304251719561151,13,9.0
GraphDB,63,0.0,0.6153846153846154,2.0,0.6504436355879909,13,8.0
GraphDB,64,0.0,0.6923076923076923,2.0,0.6304251719561151,13,9.0
GraphDB,65,0.0,0.7692307692307693,1.0,0.4385290096535146,13,10.0
GraphDB,66,0.0,0.5384615384615385,1.0,0.5188745216627708,13,7.0
GraphDB,67,0.0,0.46153846153846156,1.0,0.5188745216627708,13,6.0
GraphDB,68,0.0,0.6153846153846154,2.0,0.6504436355879909,13,8.0
GraphDB,69,0.0,0.6153846153846154,2.0,0.6504436355879909,13,8.0
GraphDB,70,0.0,0.6923076923076923,2.0,0.6304251719561151,13,9.0
GraphDB,71,0.0,0.23076923076923073,1.0,0.43852900965351466,13,3.0
GraphDB,72,0.0,0.4615384615384615,2.0,0.6602252917735248,13,6.0
GraphDB,73,0.0,0.6923076923076923,2.0,0.6304251719561151,13,9.0
GraphDB,74,0.0,0.46153846153846156,1.0,0.5188745216627708,13,6.0
GraphDB,75,0.0,0.5384615384615384,1.0,0.5188745216627708,13,7.0
GraphDB,76,0.0,0.46153846153846156,1.0,0.5188745216627708,13,6.0
GraphDB,77,0.0,0.38461538461538464,1.0,0.5063696835418334,13,5.0
GraphDB,78,0.0,0.6153846153846154,1.0,0.5063696835418334,13,8.0
GraphDB,79,0.0,0.5384615384615384,1.0,0.5188745216627708,13,7.0
GraphDB,80,0.0,0.38461538461538464,1.0,0.5063696835418334,13,5.0
GraphDB,81,0.0,0.6923076923076923,1.0,0.48038446141526137,13,9.0
GraphDB,82,0.0,0.5384615384615384,1.0,0.5188745216627708,13,7.0
GraphDB,83,0.0,0.23076923076923073,1.0,0.4385290096535146,13,3.0
GraphDB,84,0.0,0.5384615384615384,1.0,0.5188745216627708,13,7.0
GraphDB,85,0.0,0.6923076923076923,2.0,0.6304251719561152,13,9.0
GraphDB,86,0.0,0.3076923076923077,1.0,0.48038446141526137,13,4.0
GraphDB,87,0.0,0.5384615384615384,1.0,0.5188745216627708,13,7.0
GraphDB,88,0.0,0.5384615384615384,1.0,0.5188745216627708,13,7.0
GraphDB,89,0.0,0.5384615384615384,1.0,0.5188745216627708,13,7.0
GraphDB,90,0.0,0.7692307692307693,2.0,0.5991446895152781,13,10.0
GraphDB,91,0.0,0.5384615384615385,2.0,0.6602252917735246,13,7.0
GraphDB,92,0.0,0.5384615384615384,1.0,0.5188745216627708,13,7.0
GraphDB,93,0.0,0.6923076923076923,2.0,0.7510676161988107,13,9.0
GraphDB,94,0.0,0.6923076923076923,1.0,0.48038446141526137,13,9.0
GraphDB,95,0.0,0.6153846153846154,2.0,0.6504436355879909,13,8.0
GraphDB,96,0.0,0.30769230769230765,2.0,0.6304251719561151,13,4.0
GraphDB,97,0.0,0.5384615384615384,2.0,0.6602252917735248,13,7.0
GraphDB,98,0.0,0.6923076923076923,2.0,0.6304251719561152,13,9.0
GraphDB,99,0.0,0.38461538461538464,1.0,0.5063696835418334,13,5.0
GraphDB,100,0.0,0.5384615384615384,2.0,0.6602252917735248,13,7.0
GraphDB,101,0.0,0.38461538461538464,1.0,0.5063696835418334,13,5.0
GraphDB,102,0.0,0.6923076923076923,1.0,0.48038446141526137,13,9.0
GraphDB,103,0.0,0.6153846153846154,1.0,0.5063696835418333,13,8.0
GraphDB,104,0.0,0.46153846153846145,2.0,0.6602252917735247,13,6.0
GraphDB,105,0.0,0.6153846153846154,2.0,0.6504436355879909,13,8.0
GraphDB,106,0.0,0.46153846153846145,2.0,0.6602252917735247,13,6.0
GraphDB,107,0.0,0.46153846153846156,1.0,0.5188745216627708,13,6.0
GraphDB,108,0.0,0.38461538461538464,1.0,0.5063696835418334,13,5.0
GraphDB,109,0.0,0.46153846153846145,2.0,0.6602252917735247,13,6.0
GraphDB,110,0.0,0.5384615384615384,1.0,0.5188745216627708,13,7.0
GraphDB,111,0.0,0.5384615384615385,2.0,0.6602252917735246,13,7.0
GraphDB,112,0.0,0.6923076923076923,1.0,0.48038446141526137,13,9.0
GraphDB,113,0.0,0.5384615384615384,2.0,0.6602252917735248,13,7.0
GraphDB,114,0.0,0.46153846153846145,2.0,0.6602252917735247,13,6.0
GraphDB,115,0.0,0.6153846153846154,2.0,0.6504436355879909,13,8.0
GraphDB,116,0.0,0.6153846153846154,2.0,0.6504436355879909,13,8.0
GraphDB,117,0.0,0.6153846153846154,2.0,0.6504436355879909,13,8.0
GraphDB,118,0.0,0.5384615384615385,2.0,0.6602252917735246,13,7.0
GraphDB,119,0.0,0.5384615384615385,2.0,0.6602252917735246,13,7.0
GraphDB,120,0.0,0.6923076923076923,2.0,0.6304251719561151,13,9.0
GraphDB,121,0.0,0.46153846153846145,2.0,0.6602252917735247,13,6.0
GraphDB,122,0.0,0.5384615384615385,2.0,0.6602252917735246,13,7.0
GraphDB,123,0.0,0.4615384615384615,2.0,0.6602252917735248,13,6.0
GraphDB,124,0.0,0.46153846153846145,2.0,0.6602252917735247,13,6.0
GraphDB,125,0.0,0.6923076923076923,3.0,0.8548504142651102,13,9.0
GraphDB,126,0.0,0.846153846153846,2.0,0.5547001962252291,13,11.0
GraphDB,127,0.0,0.38461538461538464,2.0,0.650443635587991,13,5.0
GraphDB,128,0.0,0.4615384615384615,2.0,0.6602252917735248,13,6.0
GraphDB,129,0.0,0.46153846153846145,2.0,0.6602252917735247,13,6.0
GraphDB,130,0.0,0.5384615384615384,1.0,0.5188745216627708,13,7.0
GraphDB,131,0.0,0.38461538461538464,2.0,0.650443635587991,13,5.0
GraphDB,132,0.0,0.7692307692307693,2.0,0.5991446895152781,13,10.0
GraphDB,133,0.0,0.38461538461538464,2.0,0.650443635587991,13,5.0
GraphDB,134,0.0,0.5384615384615385,2.0,0.6602252917735246,13,7.0
GraphDB,135,0.0,0.7692307692307693,2.0,0.599144689515278,13,10.0
GraphDB,136,0.0,0.38461538461538464,1.0,0.5063696835418334,13,5.0
GraphDB,137,0.0,0.38461538461538464,1.0,0.5063696835418334,13,5.0
GraphDB,138,0.0,0.4615384615384615,2.0,0.6602252917735248,13,6.0
GraphDB,139,0.0,0.6923076923076923,2.0,0.6304251719561152,13,9.0
GraphDB,140,0.0,0.6153846153846154,1.0,0.5063696835418333,13,8.0
GraphDB,141,0.0,0.6153846153846154,2.0,0.6504436355879909,13,8.0
GraphDB,142,0.0,0.5384615384615384,1.0,0.5188745216627708,13,7.0
GraphDB,143,0.0,0.38461538461538464,1.0,0.5063696835418334,13,5.0
GraphDB,144,0.0,0.3076923076923077,1.0,0.48038446141526137,13,4.0
GraphDB,145,0.0,0.6153846153846154,1.0,0.5063696835418333,13,8.0
GraphDB,146,0.0,0.4615384615384615,1.0,0.5188745216627709,13,6.0
GraphDB,147,0.0,0.38461538461538464,1.0,0.5063696835418334,13,5.0
