triplestore;dataset;batch;cnt_batch_trpls;chunk_size;execution_time
GRAPHDB;bearc;positive_change_set_13;339237;2000;204.15166640281677
GRAPHDB;bearc;negative_change_set_13;338634;2000;189.47359943389893
GRAPHDB;bearc;positive_change_set_14;338935;2000;209.06735396385193
GRAPHDB;bearc;negative_change_set_14;338603;2000;188.1912863254547
GRAPHDB;bearc;positive_change_set_15;340397;2000;213.13863515853882
GRAPHDB;bearc;negative_change_set_15;336309;2000;185.36179399490356
GRAPHDB;bearc;positive_change_set_16;334232;2000;206.59607696533203
GRAPHDB;bearc;negative_change_set_16;334829;2000;186.50921535491943
GRAPHDB;bearc;positive_change_set_17;335428;2000;204.9526970386505
GRAPHDB;bearc;negative_change_set_17;334012;2000;182.86344146728516
GRAPHDB;bearc;positive_change_set_18;335573;2000;202.93192982673645
GRAPHDB;bearc;negative_change_set_18;335238;2000;187.02464938163757
GRAPHDB;bearc;positive_change_set_19;331202;2000;207.6145043373108
GRAPHDB;bearc;negative_change_set_19;330369;2000;187.55669856071472
GRAPHDB;bearc;positive_change_set_20;339424;2000;209.9618890285492
GRAPHDB;bearc;negative_change_set_20;337199;2000;194.70437383651733
GRAPHDB;bearc;positive_change_set_21;336305;2000;209.3035111427307
GRAPHDB;bearc;negative_change_set_21;335885;2000;187.5488052368164
GRAPHDB;bearc;positive_change_set_22;337146;2000;211.42797756195068
GRAPHDB;bearc;negative_change_set_22;336103;2000;190.36781525611877
GRAPHDB;bearc;positive_change_set_23;338516;2000;213.62984251976013
GRAPHDB;bearc;negative_change_set_23;336525;2000;188.29883790016174
GRAPHDB;bearc;positive_change_set_24;332618;2000;205.95683336257935
GRAPHDB;bearc;negative_change_set_24;330615;2000;190.55829906463623
GRAPHDB;bearc;positive_change_set_25;313803;2000;196.0973560810089
GRAPHDB;bearc;negative_change_set_25;296078;2000;183.2239260673523
GRAPHDB;bearc;positive_change_set_26;349291;2000;220.30998706817627
GRAPHDB;bearc;negative_change_set_26;363968;2000;208.40938210487366
GRAPHDB;bearc;positive_change_set_27;80372;2000;54.2309844493866
GRAPHDB;bearc;negative_change_set_27;80351;2000;66.67249608039856
GRAPHDB;bearc;positive_change_set_28;24653;2000;16.884002208709717
GRAPHDB;bearc;negative_change_set_28;18545;2000;20.40176296234131
GRAPHDB;bearc;positive_change_set_29;290911;2000;183.69137358665466
GRAPHDB;bearc;negative_change_set_29;290442;2000;171.9181056022644
GRAPHDB;bearc;positive_change_set_30;292379;2000;190.63974976539612
GRAPHDB;bearc;negative_change_set_30;291218;2000;169.58408617973328
GRAPHDB;bearc;positive_change_set_31;33958;2000;25.154675483703613
GRAPHDB;bearc;negative_change_set_31;33877;2000;34.42999196052551
GRAPHDB;bearc;positive_change_set_32;43904;2000;32.3474657535553
GRAPHDB;bearc;negative_change_set_32;43794;2000;46.205453634262085
GRAPHDB;bearc;snapshot_0;485178;3000;298.5709433555603
GRAPHDB;bearc;positive_change_set_1;273716;3000;144.58245277404785
GRAPHDB;bearc;negative_change_set_1;273294;3000;157.10079288482666
GRAPHDB;bearc;positive_change_set_2;279461;3000;151.15877676010132
GRAPHDB;bearc;negative_change_set_2;277422;3000;144.29210305213928
GRAPHDB;bearc;positive_change_set_3;299053;3000;166.18744897842407
GRAPHDB;bearc;negative_change_set_3;295548;3000;155.64346766471863
GRAPHDB;bearc;positive_change_set_4;277024;3000;153.93503308296204
GRAPHDB;bearc;negative_change_set_4;274320;3000;143.85264086723328
GRAPHDB;bearc;positive_change_set_5;277693;3000;151.50801920890808
GRAPHDB;bearc;negative_change_set_5;276654;3000;146.43077397346497
GRAPHDB;bearc;positive_change_set_6;282886;3000;157.36566185951233
GRAPHDB;bearc;negative_change_set_6;277790;3000;146.49170851707458
GRAPHDB;bearc;positive_change_set_7;337902;3000;197.42464447021484
GRAPHDB;bearc;negative_change_set_7;306592;3000;161.6920042037964
GRAPHDB;bearc;positive_change_set_8;293905;3000;170.03666257858276
GRAPHDB;bearc;negative_change_set_8;293479;3000;155.56986260414124
GRAPHDB;bearc;positive_change_set_9;335350;3000;188.94961285591125
GRAPHDB;bearc;negative_change_set_9;333095;3000;174.56846404075623
GRAPHDB;bearc;positive_change_set_10;335738;3000;192.23831295967102
GRAPHDB;bearc;negative_change_set_10;334905;3000;176.80983996391296
GRAPHDB;bearc;positive_change_set_11;338753;3000;195.46805882453918
GRAPHDB;bearc;negative_change_set_11;335954;3000;177.90857028961182
GRAPHDB;bearc;positive_change_set_12;126098;3000;77.10241174697876
GRAPHDB;bearc;negative_change_set_12;125657;3000;83.27915287017822
GRAPHDB;bearc;positive_change_set_13;339237;3000;191.33440446853638
GRAPHDB;bearc;negative_change_set_13;338634;3000;178.06448435783386
GRAPHDB;bearc;positive_change_set_14;338935;3000;196.0858747959137
GRAPHDB;bearc;negative_change_set_14;338603;3000;179.01358032226562
GRAPHDB;bearc;positive_change_set_15;340397;3000;196.6067509651184
GRAPHDB;bearc;negative_change_set_15;336309;3000;179.01790118217468
GRAPHDB;bearc;positive_change_set_16;334232;3000;199.33068466186523
GRAPHDB;bearc;negative_change_set_16;334829;3000;176.5675950050354
GRAPHDB;bearc;positive_change_set_17;335428;3000;197.08021473884583
GRAPHDB;bearc;negative_change_set_17;334012;3000;175.81332898139954
GRAPHDB;bearc;positive_change_set_18;335573;3000;194.60834074020386
GRAPHDB;bearc;negative_change_set_18;335238;3000;181.70602464675903
GRAPHDB;bearc;positive_change_set_19;331202;3000;195.88971042633057
GRAPHDB;bearc;negative_change_set_19;330369;3000;177.09888291358948
GRAPHDB;bearc;positive_change_set_20;339424;3000;209.50263738632202
GRAPHDB;bearc;negative_change_set_20;337199;3000;206.7393937110901
GRAPHDB;bearc;positive_change_set_21;336305;3000;203.02240920066833
GRAPHDB;bearc;negative_change_set_21;335885;3000;183.09565615653992
GRAPHDB;bearc;positive_change_set_22;337146;3000;205.77660822868347
GRAPHDB;bearc;negative_change_set_22;336103;3000;179.70859837532043
GRAPHDB;bearc;positive_change_set_23;338516;3000;198.6684172153473
GRAPHDB;bearc;negative_change_set_23;336525;3000;179.88693523406982
GRAPHDB;bearc;positive_change_set_24;332618;3000;196.8502378463745
GRAPHDB;bearc;negative_change_set_24;330615;3000;185.16707754135132
GRAPHDB;bearc;positive_change_set_25;313803;3000;187.67517924308777
GRAPHDB;bearc;negative_change_set_25;296078;3000;177.07195830345154
GRAPHDB;bearc;positive_change_set_26;349291;3000;209.0508050918579
GRAPHDB;bearc;negative_change_set_26;363968;3000;223.67763423919678
GRAPHDB;bearc;positive_change_set_27;80372;3000;53.36993074417114
GRAPHDB;bearc;negative_change_set_27;80351;3000;65.52323484420776
GRAPHDB;bearc;positive_change_set_28;24653;3000;16.056466102600098
GRAPHDB;bearc;negative_change_set_28;18545;3000;20.763358116149902
GRAPHDB;bearc;positive_change_set_29;290911;3000;173.64086651802063
GRAPHDB;bearc;negative_change_set_29;290442;3000;167.42735838890076
GRAPHDB;bearc;positive_change_set_30;292379;3000;179.86408972740173
GRAPHDB;bearc;negative_change_set_30;291218;3000;163.4830961227417
GRAPHDB;bearc;positive_change_set_31;33958;3000;24.444396018981934
GRAPHDB;bearc;negative_change_set_31;33877;3000;33.50183176994324
GRAPHDB;bearc;positive_change_set_32;43904;3000;29.403734922409058
GRAPHDB;bearc;negative_change_set_32;43794;3000;45.36550998687744
GRAPHDB;bearc;snapshot_0;485178;4000;286.3851087093353
GRAPHDB;bearc;positive_change_set_1;273716;4000;146.37933492660522
GRAPHDB;bearc;negative_change_set_1;273294;4000;162.31229948997498
GRAPHDB;bearc;positive_change_set_2;279461;4000;146.38474655151367
GRAPHDB;bearc;negative_change_set_2;277422;4000;144.54688239097595
GRAPHDB;bearc;positive_change_set_3;299053;4000;159.8703954219818
GRAPHDB;bearc;negative_change_set_3;295548;4000;152.71218061447144
GRAPHDB;bearc;positive_change_set_4;277024;4000;145.6939401626587
GRAPHDB;bearc;negative_change_set_4;274320;4000;143.67250776290894
GRAPHDB;bearc;positive_change_set_5;277693;4000;152.9168038368225
GRAPHDB;bearc;negative_change_set_5;276654;4000;143.412659406662
GRAPHDB;bearc;positive_change_set_6;282886;4000;152.19391465187073
GRAPHDB;bearc;negative_change_set_6;277790;4000;142.74244904518127
GRAPHDB;bearc;positive_change_set_7;337902;4000;193.9000997543335
GRAPHDB;bearc;negative_change_set_7;306592;4000;159.09627079963684
GRAPHDB;bearc;positive_change_set_8;293905;4000;164.60765600204468
GRAPHDB;bearc;negative_change_set_8;293479;4000;152.65078735351562
