triplestore;dataset;batch;cnt_batch_trpls;chunk_size;execution_time
GRAPHDB;bearc;snapshot_0;485178;6000;285.98101711273193
GRAPHDB;bearc;positive_change_set_1;273716;6000;138.63141751289368
GRAPHDB;bearc;negative_change_set_1;273294;6000;145.2767140865326
GRAPHDB;bearc;positive_change_set_2;279461;6000;142.7394037246704
GRAPHDB;bearc;negative_change_set_2;277422;6000;138.3029601573944
GRAPHDB;bearc;positive_change_set_3;299053;6000;157.61291527748108
GRAPHDB;bearc;negative_change_set_3;295548;6000;148.0423800945282
GRAPHDB;bearc;positive_change_set_4;277024;6000;149.7443244457245
GRAPHDB;bearc;negative_change_set_4;274320;6000;137.86385083198547
GRAPHDB;bearc;positive_change_set_5;277693;6000;146.23890447616577
GRAPHDB;bearc;negative_change_set_5;276654;6000;139.69812965393066
GRAPHDB;bearc;positive_change_set_6;282886;6000;155.00089693069458
GRAPHDB;bearc;negative_change_set_6;277790;6000;139.83104753494263
GRAPHDB;bearc;positive_change_set_7;337902;6000;192.2251434326172
GRAPHDB;bearc;negative_change_set_7;306592;6000;155.18673729896545
GRAPHDB;bearc;positive_change_set_8;293905;6000;162.8239917755127
GRAPHDB;bearc;negative_change_set_8;293479;6000;148.9511821269989
GRAPHDB;bearc;positive_change_set_9;335350;6000;179.6701340675354
GRAPHDB;bearc;negative_change_set_9;333095;6000;169.37853360176086
GRAPHDB;bearc;positive_change_set_10;335738;6000;182.78147172927856
GRAPHDB;bearc;negative_change_set_10;334905;6000;166.00260758399963
GRAPHDB;bearc;positive_change_set_11;338753;6000;183.24101424217224
GRAPHDB;bearc;negative_change_set_11;335954;6000;169.74883317947388
GRAPHDB;bearc;positive_change_set_12;126098;6000;72.24230194091797
GRAPHDB;bearc;negative_change_set_12;125657;6000;79.65878796577454
GRAPHDB;bearc;positive_change_set_13;339237;6000;190.87100768089294
GRAPHDB;bearc;negative_change_set_13;338634;6000;170.52422547340393
