timestamp;label;pid;memory_gb
2026-06-19T09:48:29.557815;tb_sr_re_orkg;25;0.6068878173828125
2026-06-19T09:48:30.062326;tb_sr_re_orkg;25;0.6590309143066406
2026-06-19T09:48:30.566780;tb_sr_re_orkg;25;0.7143325805664062
2026-06-19T09:48:31.071480;tb_sr_re_orkg;25;0.7361297607421875
2026-06-19T09:48:31.575990;tb_sr_re_orkg;25;0.7883453369140625
2026-06-19T09:48:32.080689;tb_sr_re_orkg;25;0.8389511108398438
2026-06-19T09:48:32.585509;tb_sr_re_orkg;25;0.8884391784667969
2026-06-19T09:48:33.090268;tb_sr_re_orkg;25;0.9383659362792969
2026-06-19T09:48:33.594555;tb_sr_re_orkg;25;0.9927482604980469
2026-06-19T09:48:34.099102;tb_sr_re_orkg;25;1.1581344604492188
2026-06-19T09:48:34.601732;tb_sr_re_orkg;25;1.1610488891601562
2026-06-19T09:48:35.106354;tb_sr_re_orkg;25;1.1727828979492188
2026-06-19T09:48:35.611510;tb_sr_re_orkg;25;1.1761436462402344
2026-06-19T09:48:36.116070;tb_sr_re_orkg;25;1.17999267578125
2026-06-19T09:48:36.620546;tb_sr_re_orkg;25;1.17999267578125
2026-06-19T09:48:37.124782;tb_sr_re_orkg;25;1.1830520629882812
2026-06-19T09:48:37.629274;tb_sr_re_orkg;25;1.1861190795898438
2026-06-19T09:48:38.134369;tb_sr_re_orkg;25;1.2990684509277344
2026-06-19T09:48:38.639247;tb_sr_re_orkg;25;1.3021354675292969
2026-06-19T09:48:39.144211;tb_sr_re_orkg;25;1.3051872253417969
2026-06-19T09:48:39.648623;tb_sr_re_orkg;25;1.3082542419433594
2026-06-19T09:48:40.152960;tb_sr_re_orkg;25;1.3084754943847656
2026-06-19T09:48:40.657531;tb_sr_re_orkg;25;1.3114852905273438
2026-06-19T09:48:41.162191;tb_sr_re_orkg;25;1.3145523071289062
2026-06-19T09:48:41.666824;tb_sr_re_orkg;25;1.3318901062011719
2026-06-19T09:48:42.171321;tb_sr_re_orkg;25;1.4384384155273438
2026-06-19T09:48:42.674563;tb_sr_re_orkg;25;1.4447021484375
2026-06-19T09:48:43.179288;tb_sr_re_orkg;25;1.4447021484375
2026-06-19T09:48:43.683926;tb_sr_re_orkg;25;1.4478874206542969
2026-06-19T09:48:44.188925;tb_sr_re_orkg;25;1.4509544372558594
2026-06-19T09:48:44.693029;tb_sr_re_orkg;25;1.4540214538574219
2026-06-19T09:48:45.196152;tb_sr_re_orkg;25;1.4540214538574219
2026-06-19T09:48:45.699370;tb_sr_re_orkg;25;1.4540214538574219
2026-06-19T09:48:46.203832;tb_sr_re_orkg;25;1.45697021484375
2026-06-19T09:48:46.708685;tb_sr_re_orkg;25;1.4580192565917969
2026-06-19T09:48:47.213168;tb_sr_re_orkg;25;1.5436019897460938
2026-06-19T09:48:47.717713;tb_sr_re_orkg;25;1.545135498046875
2026-06-19T09:48:48.222587;tb_sr_re_orkg;25;1.5469207763671875
2026-06-19T09:48:48.727361;tb_sr_re_orkg;25;1.54998779296875
2026-06-19T09:48:49.231904;tb_sr_re_orkg;25;1.54998779296875
2026-06-19T09:48:49.736671;tb_sr_re_orkg;25;1.5530548095703125
2026-06-19T09:48:50.241189;tb_sr_re_orkg;25;1.556121826171875
2026-06-19T09:48:50.745372;tb_sr_re_orkg;25;1.6180572509765625
2026-06-19T09:48:51.250068;tb_sr_re_orkg;25;1.6210594177246094
2026-06-19T09:48:51.754687;tb_sr_re_orkg;25;1.6241264343261719
2026-06-19T09:48:52.259425;tb_sr_re_orkg;25;1.6258583068847656
2026-06-19T09:48:52.763996;tb_sr_re_orkg;25;1.6273918151855469
2026-06-19T09:48:53.268645;tb_sr_re_orkg;25;1.6304588317871094
2026-06-19T09:48:53.773070;tb_sr_re_orkg;25;1.6335258483886719
2026-06-19T09:48:54.277954;tb_sr_re_orkg;25;1.6335258483886719
2026-06-19T09:48:54.782962;tb_sr_re_orkg;25;1.6365928649902344
2026-06-19T09:48:55.287386;tb_sr_re_orkg;25;1.6396598815917969
2026-06-19T09:48:55.791767;tb_sr_re_orkg;25;1.6396598815917969
2026-06-19T09:48:56.296704;tb_sr_re_orkg;25;1.6426620483398438
2026-06-19T09:48:56.801045;tb_sr_re_orkg;25;1.6456642150878906
2026-06-19T09:48:57.305162;tb_sr_re_orkg;25;1.6456642150878906
2026-06-19T09:48:57.809788;tb_sr_re_orkg;25;1.6487312316894531
2026-06-19T09:48:58.314490;tb_sr_re_orkg;25;1.700469970703125
2026-06-19T09:48:58.818998;tb_sr_re_orkg;25;1.700469970703125
2026-06-19T09:48:59.323440;tb_sr_re_orkg;25;1.7035369873046875
2026-06-19T09:48:59.828262;tb_sr_re_orkg;25;1.7049293518066406
2026-06-19T09:49:00.332901;tb_sr_re_orkg;25;1.7079963684082031
2026-06-19T09:49:00.837649;tb_sr_re_orkg;25;1.7082138061523438
2026-06-19T09:49:01.342344;tb_sr_re_orkg;25;1.7082138061523438
2026-06-19T09:49:01.847020;tb_sr_re_orkg;25;1.7082138061523438
2026-06-19T09:49:02.349720;tb_sr_re_orkg;25;1.7405967712402344
2026-06-19T09:49:02.852482;tb_sr_re_orkg;25;1.74365234375
2026-06-19T09:49:03.357152;tb_sr_re_orkg;25;1.74365234375
2026-06-19T09:49:03.861856;tb_sr_re_orkg;25;1.74365234375
2026-06-19T09:49:04.364961;tb_sr_re_orkg;25;1.74365234375
2026-06-19T09:49:04.868255;tb_sr_re_orkg;25;1.7467193603515625
2026-06-19T09:49:05.370907;tb_sr_re_orkg;25;1.7467193603515625
2026-06-19T09:49:05.873955;tb_sr_re_orkg;25;1.7467193603515625
2026-06-19T09:49:06.377047;tb_sr_re_orkg;25;1.7469215393066406
2026-06-19T09:49:06.879716;tb_sr_re_orkg;25;1.77685546875
2026-06-19T09:49:07.384425;tb_sr_re_orkg;25;1.77685546875
2026-06-19T09:49:07.888986;tb_sr_re_orkg;25;1.7798576354980469
2026-06-19T09:49:08.393239;tb_sr_re_orkg;25;1.7798576354980469
2026-06-19T09:49:08.897887;tb_sr_re_orkg;25;1.7798576354980469
2026-06-19T09:49:09.402494;tb_sr_re_orkg;25;1.7798576354980469
2026-06-19T09:49:09.907261;tb_sr_re_orkg;25;1.7829246520996094
2026-06-19T09:49:10.412059;tb_sr_re_orkg;25;1.7829246520996094
2026-06-19T09:49:10.916669;tb_sr_re_orkg;25;1.7829246520996094
2026-06-19T09:49:11.421386;tb_sr_re_orkg;25;1.8307609558105469
2026-06-19T09:49:11.926171;tb_sr_re_orkg;25;1.8337631225585938
2026-06-19T09:49:12.430697;tb_sr_re_orkg;25;1.8337631225585938
2026-06-19T09:49:12.933977;tb_sr_re_orkg;25;1.8337631225585938
2026-06-19T09:49:13.438609;tb_sr_re_orkg;25;1.8488235473632812
2026-06-19T09:49:13.943193;tb_sr_re_orkg;25;1.8489837646484375
2026-06-19T09:49:14.449223;tb_sr_re_orkg;25;1.8822708129882812
2026-06-19T09:49:14.952051;tb_sr_re_orkg;25;1.8822708129882812
2026-06-19T09:49:15.454766;tb_sr_re_orkg;25;1.8822708129882812
2026-06-19T09:49:15.957599;tb_sr_re_orkg;25;1.8822708129882812
2026-06-19T09:49:16.460553;tb_sr_re_orkg;25;1.8853302001953125
2026-06-19T09:49:16.963623;tb_sr_re_orkg;25;1.8853302001953125
2026-06-19T09:49:17.466480;tb_sr_re_orkg;25;1.8854751586914062
2026-06-19T09:49:17.969420;tb_sr_re_orkg;25;1.8854751586914062
2026-06-19T09:49:18.472513;tb_sr_re_orkg;25;1.8854751586914062
2026-06-19T09:49:18.975549;tb_sr_re_orkg;25;1.8885421752929688
2026-06-19T09:49:19.478712;tb_sr_re_orkg;25;1.8885421752929688
2026-06-19T09:49:19.981497;tb_sr_re_orkg;25;1.8885421752929688
2026-06-19T09:49:20.484490;tb_sr_re_orkg;25;1.8885421752929688
2026-06-19T09:49:20.987599;tb_sr_re_orkg;25;1.8915519714355469
2026-06-19T09:49:21.490554;tb_sr_re_orkg;25;1.8915519714355469
2026-06-19T09:49:21.993577;tb_sr_re_orkg;25;1.8915519714355469
2026-06-19T09:49:22.496772;tb_sr_re_orkg;25;1.8915519714355469
2026-06-19T09:49:22.999773;tb_sr_re_orkg;25;1.8944969177246094
